website,logo,favicon
www.jawbone.com,,https://images.squarespace-cdn.com/content/v1/5c86c2f47eb88c1bb558b38e/1552336939908-0nafkorzfqh7fjmm4j7e/ke17zwdgbtoddi8pdm48kiwiyh2v1fopkfdosc7fevvzw-zppgdn4juwvcje1zvwhcwhetwjxoshnda9f1qd7rb66vc8y5umdkesc3gpgyvpztfan6oplsrdbrzdx-ke3haao58pz7qqk-wvwhcdmq/favicon.ico?format=100w
www.paltalk.com,,/favicon.ico
www.sharefile.com,,/etc/designs/sharefile/icon-favicon.png
www.ringcentral.com,,/content/dam/rc-www/en_us/images/favicon/favicon.ico
en,https://www.avaya.com/static/avaya/assets/images/avaya-logo-vertical-white.png,https://www.avaya.com/static/avaya/assets/images/favicon.png
www.8x8.com,,/favicon-32x32.png?v=34d63ccce2ad2b59d709decf27324b1c
www.rakuten.co.jp,https://r.r10s.jp/com/inc/home/20080930/spt/common/img/rmagazine_logo.png,
mobile,,//www.sony.com/static-assets/images/favicon_144x144.png
www.campusexplorer.com,https://widget.campusexplorer.com/assets/images/campus-explorer-logo.svg,//widget.campusexplorer.com/favicon.ico
?utm_campaign=parked-www.mycricket.com&utm_source=parked-redirect,/uiassets/logo_cricket_green_line_small.png,/uiassets-fonts/glyphicons-halflings-regular.woff
www.business.com,,https://static.business.com/favicon-32x32.png?v=ac016efb4a4a709bd7c8a2801feac81b
sg,/image/fpo/logo_riverbed_orange.svg,https://www.riverbed.com/icon/favicon.ico
www.bluehost.com,,/favicon.ico
www.bluejeans.com,https://www.bluejeans.com/sites/default/files/logos/national-geographic.png,https://www.bluejeans.com/sites/all/themes/bluejeans2018/favicon.ico
int,,https://s.uicdn.com/mailint/9.1628.0/assets/favicon.ico
www.neat.com,https://3938vt31fpm84aufi94co9yh-wpengine.netdna-ssl.com/wp-content/uploads/2019/09/neat-logo-blue-100x31-compressor.png,https://3938vt31fpm84aufi94co9yh-wpengine.netdna-ssl.com/wp-content/uploads/2020/05/cropped-neat_favicon-32x32.png
www.aweber.com,,https://assets.aweber-static.com/www/assets/metadata/apple-touch-icon-72x72-precomposed.db403b53.png
www.ionos.com,https://cu1.uicdn.net/7d5/abcb6399cfff8a905569278386360/frontend-applications-common/vi-logo.svg,/favicon.ico
animoto.com,,/favicon-32x32.png?v=f7bad0df2a4af8688773dca5ee0b1ed6
www.peoplesmart.com,,
webinar,,/-/media/project/global/favicon-webinar.png
www.swagbucks.com,https://app15-cdn2.sbx-cdn.com/content/shared/images/prodege-logo.png?v=20170619,/favicon.svg
www.mimecast.com,/globalassets/global/2019/logo-light-2020.png,/static/v2016/img/favicons/apple-touch-icon-57x57.png
www.boingo.com,http://www.boingo.com/wp-content/themes/boingo-2019/img/boingo_logo.svg,http://www.boingo.com/wp-content/themes/boingo-2019/favicon.ico
www.bmc.com,,/etc/clientlibs/bmc/head/favicon.ico
sproutsocial.com,,https://media.sproutsocial.com/uploads/favicon_2015-07-29.ico
www1.sugarsync.com,/assets/img/logo-adfca65fa4.svg,/assets/img/favicons/apple-touch-icon-55dc9a65a0.png
www.naver.com,https://s.pstatic.net/static/newsstand/2020/logo/light/0604/326.png,/favicon.ico?1
www.netfortris.com,,//www.netfortris.com/hubfs/net_fortris_may2017/images/netfortris_favicon.ico
?megapath,/sites/fusionconnect/themes/fusionconnect/images/logos/fusion-logo-header.png,/sites/fusionconnect/themes/fusionconnect/images/ico/favicon.ico
www.hughesnet.com,,/themes/custom/hughes_theme/favicon.ico
www.greatcall.com:443,,/content/css/icons?v=mh-szijh6amtrn1orzymunjgfjrqxcat-yk-vtagp5o1
www.weebly.com,//cdn2.editmysite.com/images/landing-pages/global/logo.svg,
www.efax.com,/sf-images/default-source/pagespeedimage/meganav/efax-logo.png,/favicon.ico
www.globo.com,,https://s2.glbimg.com/rb9oqf6cxwasf1rac3c-lrbiwsi=/16x16/i.s3.glbimg.com/v1/auth_9de6fd454d9849c8bee5b63069fbb074/internal_photos/bs/2021/8/h/duoccjrqo9mhy2lxishq/g-favicon.png
en,,https://www-static.cdn-one.com/images/global/favicon/favicon.ico
www.nextiva.com,/images/home/nextiva-logo.svg,/favicon.ico?v=3.0.0
en,https://www.tradedoubler.com/wp-content/uploads/2018/12/logo-td-248.png,https://www.tradedoubler.com/wp-includes/css/dashicons.min.css?ver=4.9.16
www.marinsoftware.com,https://www.marinsoftware.com/wp-content/themes/marin/images/new/logo.svg,/favicon.ico
en,/etc.clientlibs/poly/clientlibs/clientlib-site/resources/images/poly-logo.svg,
www.semrush.com,https://cdn.semrush.com/static/index/logos/decathlon_logo.867c20390207.svg,https://cdn.semrush.com/__static__/favicon.3cd418d5bb49.ico
owa,,https://ow2.res.office365.com/owalanding/2020.9.21.01/images/favicon.ico?v=4
www.rcn.com,assets/images/rcn-logo.svg,assets/favicon.ico
www.terra.com.br,,//s1.trrsf.com/favicon.ico
www.readytalk.com,https://www.readytalk.com/sites/default/files/header_rt_logo_0.png,https://www.readytalk.com/sites/default/files/favicon.png
www.zinio.com,https://admin-project-assets.ziniopro.com/99/20190516161716-zinio_webtopnavlogo.png,
www.altova.com,,/assets/icons/apple-touch-icon-57x57.png
www.ussearch.com,//assets.ussearch.com/funnel/assets/themes/ussearch/img/home/news-logos.png,//assets.ussearch.com/funnel/assets/shared/favicon.svg
www.3dcart.com,,/favicon.ico
www.name.com,,https://d1hoh05jeo8jse.cloudfront.net/media/favicon/favicon.ico
www.whatcounts.com,https://mk0whatcounts5gas29i.kinstacdn.com/wp-content/uploads/2018/12/whatcounts_primarylogo_osgtagline_2018.jpg,https://mk0whatcounts5gas29i.kinstacdn.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1
www.wirefly.com,/sites/wirefly.com/themes/wirefly/images/logo.jpg,https://www.wirefly.com/sites/wirefly.com/files/wirefly.ico
hostway.com,https://hostway.com/wp-content/uploads/new-hostway-logo.png,https://hostway.com/wp-content/themes/hostway2.0/genericons/genericons.css?ver=3.4.1
www.twilio.com:443,,/docs/static/img/favicons/favicon.59fb76201.ico
www.android.com,,/static/images/fav/favicon.ico
teamtreehouse.com,,/assets/favicon.png
www.jimdo.com,/static/5e5570eda00ea5ab64032017046da219/47498/logo-creator.jpg,/icons/apple-touch-icon-57x57.png
login.php,,
act-on.com,https://act-on.com/wp-content/uploads/2020/05/act-on-logo.svg,https://act-on.com/wp-content/uploads/2020/05/cropped-site-icon-32x32.png
www.puretalkusa.com,https://s.weblec.com/ptusa/final/images/logo.svg,/favicon.ico
www.templatemonster.com,,
voiphome.aspx,/images/min/homepage/phonepower_logo.png,
www.prana.com,,/on/demandware.static/sites-prana_us-site/-/default/dwa0052487/images/favicons/favicon-16x16.png
www.headsets.com,,
myverizon,https://www.verizon.com/dam/vzwcom/gnav/global/verizonlogo.svg,
www.comm100.com,/wp-content/uploads/images/logo-comm100.svg,https://www.comm100.com/wp-content/themes/comm100/dist/images/favicon.ico
